voie
Allée
Autoroute
Avenue
Boulevard
Carriera
Camin
Canal
Carrefour
Chemin
Cheminement
Chalet
Chaussée
Château
Cité
Clos
Corniche
Côte
Cour
Camping
Cours
Contour
Centre
Digue
Domaine
Draille
Descente
Enclos
Escalier
Esplanade
Espace
Faubourg
Ferme
Galerie
Habitation
Hameau
HLM
Impasse
Ligne
Lotissement
Mail
Maison
Marché
Montée
Parc
Passage
Passe
Piste
Parking
Place
Placa
Plan
Passerelle
Pont
Port
Promenade
Parvis
Porte
Placette
Quartier
Quai
Résidence
Ruelle
Rocade
Rampe
Rond-Point
Route
Rue
Ruisseau
Sentier
Square
Tour
Traverse
Terrasse
Vallon
Venelle
Village
Villa
Voie
ZA
ZAC
ZI
Zone
